window,quintile,count,mean_return,median_return,std_dev,win_rate,source,stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct,event_date,ratio_before,ratio_after,ratio_change,base_price,return_-4w,return_-3w,return_-2w,return_-1w,return_+1w,return_+2w,return_+3w,return_+4w
,,,,,,,Agent-B,3092,20230117.0,1.0,2.0,34.1,35.35,3.6656891495601167,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230117.0,1.0,4.0,34.1,37.5,9.970674486803514,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230117.0,1.0,12.0,34.1,35.0,2.63929618768328,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230203.0,53.0,1.0,36.5,36.95,1.232876712328775,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230203.0,53.0,2.0,36.5,38.45,5.342465753424666,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230203.0,53.0,4.0,36.5,37.0,1.36986301369863,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20230203.0,53.0,12.0,36.5,37.75,3.4246575342465757,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240205.0,1.0,1.0,33.5,33.85,1.0447761194029892,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240205.0,1.0,2.0,33.5,34.5,2.985074626865672,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240205.0,1.0,4.0,33.5,32.9,-1.7910447761194073,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240205.0,1.0,12.0,33.5,33.45,-0.1492537313432751,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240216.0,50.0,1.0,34.1,33.7,-1.1730205278592334,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240216.0,50.0,2.0,34.1,33.1,-2.932551319648093,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240216.0,50.0,4.0,34.1,30.85,-9.530791788856304,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20240216.0,50.0,12.0,34.1,33.6,-1.4662756598240467,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20250207.0,54.0,1.0,26.5,29.6,11.698113207547175,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20250207.0,54.0,2.0,26.5,28.65,8.113207547169806,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20250207.0,54.0,4.0,26.5,27.25,2.8301886792452837,,,,,,,,,,,,,
,,,,,,,Agent-B,3092,20250207.0,54.0,12.0,26.5,20.1,-24.15094339622641,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221111.0,3.0,1.0,94.3,101.0,7.104984093319197,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221111.0,3.0,2.0,94.3,107.5,13.997879109225876,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221111.0,3.0,4.0,94.3,27.8,-70.51961823966066,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221111.0,3.0,12.0,94.3,28.7,-69.56521739130434,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221216.0,5.0,1.0,27.65,27.65,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221216.0,5.0,2.0,27.65,26.95,-2.5316455696202507,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221216.0,5.0,4.0,27.65,28.0,1.2658227848101318,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20221216.0,5.0,12.0,27.65,41.95,51.71790235081376,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230117.0,1.0,1.0,27.75,27.7,-0.1801801801801827,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230117.0,1.0,2.0,27.75,28.0,0.9009009009009008,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230117.0,1.0,4.0,27.75,29.6,6.666666666666672,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230117.0,1.0,12.0,27.75,38.5,38.73873873873874,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230203.0,53.0,1.0,28.7,29.25,1.916376306620212,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230203.0,53.0,2.0,28.7,30.65,6.794425087108012,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230203.0,53.0,4.0,28.7,31.6,10.104529616724744,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20230203.0,53.0,12.0,28.7,38.15,32.92682926829268,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240205.0,1.0,1.0,30.75,30.85,0.325203252032525,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240205.0,1.0,2.0,30.75,30.85,0.325203252032525,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240205.0,1.0,4.0,30.75,30.65,-0.325203252032525,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240205.0,1.0,12.0,30.75,30.8,0.1626016260162625,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240216.0,50.0,1.0,30.8,30.7,-0.3246753246753293,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240216.0,50.0,2.0,30.8,30.85,0.1623376623376646,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240216.0,50.0,4.0,30.8,30.05,-2.435064935064936,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20240216.0,50.0,12.0,30.8,30.15,-2.110389610389617,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20250207.0,54.0,1.0,26.25,26.0,-0.9523809523809524,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20250207.0,54.0,2.0,26.25,25.9,-1.3333333333333388,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20250207.0,54.0,4.0,26.25,25.95,-1.1428571428571457,,,,,,,,,,,,,
,,,,,,,Agent-B,3093,20250207.0,54.0,12.0,26.25,26.45,0.7619047619047592,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20221111.0,10.0,1.0,25.75,26.0,0.9708737864077668,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20221111.0,10.0,2.0,25.75,25.7,-0.1941747572815561,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20221111.0,10.0,4.0,25.75,25.75,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20221111.0,10.0,12.0,25.75,27.35,6.213592233009714,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230117.0,1.0,1.0,24.65,25.1,1.8255578093306408,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230117.0,1.0,2.0,24.65,25.45,3.245436105476676,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230117.0,1.0,4.0,24.65,28.9,17.24137931034483,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230117.0,1.0,12.0,24.65,33.1,34.279918864097375,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230203.0,53.0,1.0,27.35,27.35,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230203.0,53.0,2.0,27.35,29.25,6.94698354661791,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230203.0,53.0,4.0,27.35,32.2,17.733089579524687,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20230203.0,53.0,12.0,27.35,34.0,24.3144424131627,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240205.0,1.0,1.0,35.2,35.6,1.1363636363636322,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240205.0,1.0,2.0,35.2,36.4,3.409090909090897,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240205.0,1.0,4.0,35.2,34.35,-2.414772727272731,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240205.0,1.0,12.0,35.2,31.2,-11.363636363636372,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240216.0,50.0,1.0,36.55,35.45,-3.0095759233925974,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240216.0,50.0,2.0,36.55,34.4,-5.882352941176468,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240216.0,50.0,4.0,36.55,33.5,-8.344733242134057,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20240216.0,50.0,12.0,36.55,30.95,-15.321477428180568,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20250207.0,54.0,1.0,30.25,30.25,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20250207.0,54.0,2.0,30.25,30.35,0.3305785123966989,,,,,,,,,,,,,
,,,,,,,Agent-B,3094,20250207.0,54.0,4.0,30.25,29.55,-2.314049586776857,,,,,,,,,,,,,
