股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
6472,main,20230222,493.0,20230405,740.0,42,+49.66%,"NT$+41,188",到期,"NT$82,942",v4,6週+6個持倉_2023年,493.0,20230222,6472,main,0.0,0.0,0.0,0.0,0.0,41188.0,49.66,300-500,30-42日
2474,backup_v4,20230308,187.5,20230419,182.5,42,-3.11%,"NT$-2,586",到期,"NT$83,181",v4,6週+6個持倉_2023年,187.5,20230308,2474,backup_v4,-5.166232073011734,0.0,187.8,-0.15974440894569295,0.0,-2586.0,-3.11,100-200,30-42日
2637,backup_v4,20230308,67.2,20230419,63.5,42,-5.95%,"NT$-4,956",到期,"NT$83,312",v4,6週+6個持倉_2023年,67.2,20230308,2637,backup_v4,-8.836071742129688,0.0,64.085,4.860731840524318,0.0,-4956.0,-5.95,50-100,30-42日
3680,main,20230329,366.0,20230421,339.0,23,-7.82%,"NT$-6,506",停損,"NT$83,200",v4,6週+6個持倉_2023年,366.0,20230329,3680,main,0.0,0.0,0.0,0.0,0.0,-6506.0,-7.82,300-500,14-30日
4763,main,20230419,480.0,20230421,435.0,2,-9.82%,"NT$-8,164",停損,"NT$83,158",v4,6週+6個持倉_2023年,480.0,20230419,4763,main,0.0,0.0,0.0,0.0,0.0,-8164.0,-9.82,300-500,<7日
3675,main,20230412,299.5,20230524,348.0,42,+15.75%,"NT$+13,086",到期,"NT$83,080",v4,6週+6個持倉_2023年,299.5,20230412,3675,main,0.0,0.0,0.0,0.0,0.0,13086.0,15.75,200-300,30-42日
2207,backup_v4,20230426,660.0,20230607,861.0,42,+30.01%,"NT$+24,994",到期,"NT$83,279",v4,6週+6個持倉_2023年,660.0,20230426,2207,backup_v4,-7.657127923690056,0.0,644.85,2.3493835775761767,0.0,24994.0,30.01,500+,30-42日
3044,backup_v4,20230426,113.5,20230607,127.0,42,+11.45%,"NT$+9,541",到期,"NT$83,314",v4,6週+6個持倉_2023年,113.5,20230426,3044,backup_v4,-5.176528177201249,0.0,114.1,-0.52585451358457,0.0,9541.0,11.45,100-200,30-42日
3310,backup_v4,20230426,66.9,20230607,78.1,42,+16.30%,"NT$+13,573",到期,"NT$83,275",v4,6週+6個持倉_2023年,66.9,20230426,3310,backup_v4,-6.6277836691410394,0.0,67.2,-0.4464285714285672,0.0,13573.0,16.3,50-100,30-42日
3324,backup_v4,20230426,229.0,20230607,295.0,42,+28.38%,"NT$+23,624",到期,"NT$83,245",v4,6週+6個持倉_2023年,229.0,20230426,3324,backup_v4,-11.689834198626697,0.0,234.45,-2.3245894647046232,0.0,23624.0,28.38,200-300,30-42日
1795,main,20230524,334.5,20230608,311.0,15,-7.47%,"NT$-6,204",停損,"NT$83,074",v4,6週+6個持倉_2023年,334.5,20230524,1795,main,0.0,0.0,0.0,0.0,0.0,-6204.0,-7.47,300-500,14-30日
1580,backup_v4,20230607,134.5,20230609,124.5,2,-7.88%,"NT$-6,557",停損,"NT$83,239",v4,6週+6個持倉_2023年,134.5,20230607,1580,backup_v4,-5.374177079134757,0.0,129.225,4.082027471464505,0.0,-6557.0,-7.88,100-200,<7日
8046,main,20230531,303.0,20230615,281.0,15,-7.70%,"NT$-6,404",停損,"NT$83,140",v4,6週+6個持倉_2023年,303.0,20230531,8046,main,0.0,0.0,0.0,0.0,0.0,-6404.0,-7.7,300-500,14-30日
2743,backup_v4,20230607,160.5,20230712,136.5,35,-15.40%,"NT$-12,818",停損,"NT$83,257",v4,6週+6個持倉_2023年,160.5,20230607,2743,backup_v4,-38.82091212458287,0.0,117.565,36.52022285544167,0.0,-12818.0,-15.4,100-200,30-42日
3008,backup_v4,20230607,2245.0,20230719,2270.0,42,+0.67%,NT$+558,到期,"NT$83,183",v4,6週+6個持倉_2023年,2245.0,20230607,3008,backup_v4,-6.462847807089755,0.0,2219.5,1.1489074115791844,0.0,558.0,0.67,500+,30-42日
