engine,stock,buy_date,exit_date,entry_price,exit_price,days_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,2476,20231227,20240215,71.9,74.1,50,3.059805285118204,2.617305285118204,2180,hold_period
main,2603,20240103,20240215,153.0,149.0,43,-2.6143790849673203,-3.05687908496732,-2543,hold_period
main,5483,20240103,20240215,193.0,184.0,43,-4.66321243523316,-5.10571243523316,-4253,hold_period
backup,6805,20240117,20240219,490.0,650.0,33,32.6530612244898,32.210561224489794,26712,trailing
main,6667,20240110,20240221,102.0,146.0,42,43.13725490196079,42.694754901960785,35543,hold_period
main,3017,20240117,20240229,343.5,532.0,43,54.87627365356623,54.43377365356623,45314,hold_period
backup,3694,20240215,20240229,55.0,51.0,14,-7.2727272727272725,-7.4425,-6198,stop_loss
main,2465,20240219,20240308,94.4,133.5,18,41.419491525423716,40.97699152542371,34128,trailing
main,3036,20240216,20240313,163.0,149.5,26,-8.282208588957054,-7.4425,-6196,stop_loss
main,3081,20240221,20240315,131.5,142.5,23,8.365019011406844,7.922519011406844,6594,trailing
backup,1319,20240215,20240328,86.3,125.0,42,44.84356894553883,44.401068945538825,36991,hold_period
main,4968,20240229,20240328,223.5,204.5,28,-8.501118568232663,-7.4425,-6197,stop_loss
main,2387,20240229,20240411,61.9,62.1,42,0.32310177705977844,-0.11939822294022157,-99,hold_period
main,3163,20240315,20240416,101.5,92.3,32,-9.064039408866996,-7.4425,-6196,stop_loss
main,3083,20240328,20240416,51.8,48.1,19,-7.142857142857135,-7.4425,-6200,stop_loss
main,2606,20240308,20240419,54.3,55.3,42,1.841620626151013,1.3991206261510132,1166,hold_period
main,6189,20240411,20240422,91.0,80.7,11,-11.318681318681316,-7.4425,-6199,stop_loss
main,3147,20240313,20240424,125.5,140.0,42,11.553784860557768,11.111284860557767,9258,hold_period
main,2317,20240328,20240509,145.5,170.5,42,17.18213058419244,16.73963058419244,13927,hold_period
backup,2739,20240508,20240513,73.4,64.6,5,-11.989100817438707,-7.4425,-6198,stop_loss
main,6213,20240416,20240528,107.5,117.5,42,9.30232558139535,8.859825581395349,7382,hold_period
main,2206,20240508,20240531,81.4,75.7,23,-7.002457002457005,-7.4425,-6200,stop_loss
main,2609,20240515,20240531,60.6,71.5,16,17.986798679867984,17.544298679867985,14618,trailing
main,8271,20240424,20240605,64.1,67.4,42,5.1482059282371475,4.705705928237148,3921,hold_period
main,3338,20240502,20240613,70.5,85.3,42,20.992907801418436,20.550407801418437,17120,hold_period
backup,2351,20240613,20240614,149.0,135.5,1,-9.060402684563758,-7.4425,-6197,stop_loss
main,3605,20240531,20240618,50.5,45.8,18,-9.306930693069312,-7.4425,-6199,stop_loss
main,4760,20240605,20240618,137.0,126.0,13,-8.02919708029197,-7.4425,-6198,stop_loss
backup,1736,20240515,20240626,91.2,85.1,42,-6.68859649122808,-7.13109649122808,-5940,hold_period
main,2316,20240626,20240701,57.7,53.6,5,-7.105719237435011,-7.4425,-6201,stop_loss
main,5347,20240528,20240704,98.2,120.5,37,22.708757637474537,22.26625763747454,18546,trailing
main,3491,20240605,20240717,287.0,310.0,42,8.013937282229964,7.571437282229964,6289,hold_period
main,3374,20240619,20240719,168.0,207.5,30,23.511904761904763,23.069404761904764,19212,trailing
main,6278,20240704,20240722,120.0,123.5,18,2.9166666666666665,2.4741666666666666,2060,trailing
backup,3665,20240614,20240726,288.0,382.0,42,32.63888888888889,32.19638888888889,26743,hold_period
main,3689,20240719,20240726,80.8,74.4,7,-7.920792079207911,-7.4425,-6197,stop_loss
main,6143,20240618,20240729,126.0,115.0,41,-8.73015873015873,-7.4425,-6198,stop_loss
main,2464,20240717,20240729,89.1,78.0,12,-12.457912457912453,-7.4425,-6196,stop_loss
backup,8147,20240726,20240729,137.5,127.0,3,-7.636363636363637,-7.4425,-6200,stop_loss
main,3022,20240726,20240730,89.4,83.0,4,-7.158836689038036,-7.4425,-6197,stop_loss
main,2520,20240731,20240802,60.5,56.2,2,-7.107438016528921,-7.4425,-6200,stop_loss
main,2548,20240701,20240805,139.5,148.0,35,6.093189964157706,5.650689964157706,4705,trailing
main,6177,20240731,20240805,67.2,60.1,5,-10.565476190476192,-7.4425,-6201,stop_loss
main,8103,20240814,20240830,65.5,67.5,16,3.0534351145038165,2.6109351145038167,2175,trailing
main,8390,20240722,20240902,69.9,71.7,42,2.5751072961373347,2.132607296137335,1776,hold_period
main,6706,20240807,20240904,99.0,124.0,28,25.252525252525253,24.810025252525254,20661,trailing
main,1609,20240821,20240904,54.1,49.35,14,-8.78003696857671,-7.4425,-6201,stop_loss
main,4974,20240911,20240919,96.3,108.5,8,12.668743509865008,12.226243509865007,10187,trailing
backup,4542,20240911,20240926,76.6,89.9,15,17.362924281984352,16.920424281984353,14096,trailing
main,3019,20240821,20241004,121.0,113.0,44,-6.6115702479338845,-7.054070247933884,-5872,hold_period
main,1582,20240925,20241004,108.5,100.5,9,-7.373271889400922,-7.4425,-6194,stop_loss
main,3003,20240904,20241009,89.4,81.8,35,-8.501118568232672,-7.4425,-6197,stop_loss
main,6215,20240904,20241011,65.7,60.4,37,-8.066971080669717,-7.4425,-6199,stop_loss
main,6187,20241004,20241014,470.0,477.5,10,1.5957446808510638,1.153244680851064,961,trailing
backup,5234,20240919,20241015,205.5,215.0,26,4.622871046228711,4.180371046228711,3476,trailing
main,3167,20241004,20241016,140.5,147.5,12,4.98220640569395,4.53970640569395,3781,trailing
main,5443,20241009,20241024,138.0,124.0,15,-10.144927536231885,-7.4425,-6202,stop_loss
main,2497,20241023,20241114,74.0,68.7,22,-7.162162162162159,-7.4425,-6199,stop_loss
main,6844,20241023,20241114,169.5,155.0,22,-8.55457227138643,-7.4425,-6190,stop_loss
main,5263,20241030,20241114,179.5,155.5,15,-13.370473537604457,-7.4425,-6194,stop_loss
main,8028,20241009,20241118,122.5,123.5,40,0.8163265306122449,0.3738265306122449,311,trailing
main,8064,20241030,20241118,63.5,57.1,19,-10.078740157480311,-7.4425,-6200,stop_loss
main,3447,20241114,20241121,90.0,81.0,7,-10.0,-7.4425,-6198,stop_loss
backup,6510,20241023,20241204,561.0,833.0,42,48.484848484848484,48.04234848484848,39945,hold_period
main,3211,20241120,20241210,150.0,202.5,20,35.0,34.5575,28758,trailing
main,3712,20241127,20241210,69.7,64.8,13,-7.030129124820668,-7.4425,-6197,stop_loss
main,6830,20241120,20241213,171.0,157.0,23,-8.187134502923977,-7.4425,-6194,stop_loss
main,3596,20241120,20250103,164.0,174.0,44,6.097560975609756,5.655060975609756,4709,hold_period
main,3088,20241204,20250117,105.5,122.5,44,16.113744075829384,15.671244075829383,13047,hold_period
main,8299,20250103,20250117,502.0,465.5,14,-7.270916334661355,-7.4425,-6173,stop_loss
backup,2383,20241211,20250122,533.0,614.0,42,15.196998123827393,14.754498123827393,12286,hold_period
main,1785,20241218,20250207,62.4,60.3,51,-3.365384615384618,-3.807884615384618,-3172,hold_period
main,6689,20241218,20250207,109.0,125.5,51,15.137614678899084,14.695114678899083,12239,hold_period
backup,6811,20241218,20250207,268.5,289.0,51,7.635009310986965,7.192509310986965,5976,hold_period
main,4772,20250122,20250214,245.5,208.5,23,-15.071283095723015,-7.4425,-6185,stop_loss
backup,6757,20250117,20250303,86.8,83.0,45,-4.3778801843317945,-4.820380184331794,-4014,hold_period
main,1786,20250122,20250305,120.5,125.5,42,4.149377593360995,3.7068775933609954,3086,hold_period
main,3376,20250221,20250307,283.0,260.0,14,-8.12720848056537,-7.4425,-6201,stop_loss
main,5388,20250214,20250328,130.5,123.0,42,-5.747126436781609,-6.189626436781609,-5153,hold_period
main,8111,20250326,20250328,60.3,56.0,2,-7.131011608623544,-7.4425,-6202,stop_loss
main,3563,20250312,20250331,535.0,470.5,19,-12.05607476635514,-7.4425,-6180,stop_loss
main,2429,20250326,20250401,64.4,56.6,6,-12.11180124223603,-7.4425,-6201,stop_loss
main,4931,20250319,20250407,87.3,76.5,19,-12.371134020618554,-7.4425,-6201,stop_loss
backup,3162,20250402,20250407,52.7,47.45,5,-9.962049335863377,-7.4425,-6202,stop_loss
backup,6227,20250402,20250407,103.0,92.7,5,-9.999999999999998,-7.4425,-6195,stop_loss
main,2615,20250528,20250605,112.5,104.0,8,-7.555555555555555,-7.4425,-6196,stop_loss
backup,6597,20250604,20250611,75.5,70.1,7,-7.152317880794709,-7.4425,-6201,stop_loss
backup,2745,20250514,20250625,122.0,121.5,42,-0.4098360655737705,-0.8523360655737705,-710,hold_period
backup,6669,20250514,20250625,2200.0,2710.0,42,23.18181818181818,22.73931818181818,18536,hold_period
main,2408,20250625,20250701,55.0,49.5,6,-10.0,-7.4425,-6198,stop_loss
main,3090,20250521,20250702,75.6,79.4,42,5.026455026455042,4.583955026455042,3817,hold_period
