engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,3535,20250808,67.3,20250905,73.5,412,9.212481426448742,8.76998142644874,2435,hold_period
Main,6877,20250808,98.5,20250905,91.60499999999999,281,-8.020304568527925,-7.4425,-2063,stop_loss
Main,7747,20250808,141.0,20250905,137.5,196,-2.4822695035460995,-2.9247695035460994,-809,hold_period
Main,6805,20250704,791.0,20250912,1020.0,26,28.950695322376742,28.508195322376743,5871,trailing_stop
Main,6197,20250718,139.5,20250912,160.5,198,15.053763440860216,14.611263440860215,4042,trailing_stop
Main,3217,20250815,177.5,20250912,177.5,156,0.0,-0.4425,-123,hold_period
Main,3715,20250815,100.5,20250912,94.5,276,-5.970149253731343,-6.412649253731343,-1781,hold_period
Main,6877,20250815,98.3,20250912,92.3,282,-6.1037639877924725,-6.546263987792472,-1817,hold_period
Main,7747,20250815,134.0,20250912,135.0,207,0.7462686567164178,0.30376865671641784,84,hold_period
Main,8033,20250627,60.7,20250919,140.0,316,130.64250411861613,130.20000411861614,25010,trailing_stop
Main,2374,20250815,74.6,20250919,84.5,371,13.27077747989277,12.828277479892769,3555,trailing_stop
Main,2402,20250822,61.1,20250919,56.823,371,-12.438625204582653,-7.4425,-1689,stop_loss
Main,2630,20250822,56.0,20250919,55.8,405,-0.3571428571428622,-0.7996428571428622,-182,hold_period
Main,2645,20250822,183.0,20250919,171.0,124,-6.557377049180328,-6.999877049180328,-1591,hold_period
Main,3162,20250822,51.2,20250919,54.4,443,6.249999999999992,5.807499999999992,1319,hold_period
Main,3715,20250822,103.5,20250919,96.255,219,-12.077294685990339,-7.4425,-1689,stop_loss
Main,8086,20250822,107.0,20250919,109.5,212,2.336448598130841,1.8939485981308413,430,hold_period
Main,5439,20250529,179.0,20250926,309.0,126,72.62569832402235,72.18319832402236,16303,trailing_stop
Main,2374,20250829,79.2,20250926,86.6,210,9.343434343434334,8.900934343434333,1483,hold_period
Main,2493,20250829,172.0,20250926,159.95999999999998,96,-37.7906976744186,-7.4425,-1231,stop_loss
