date,value,n_positions,cash
20250912,627352.4663499999,3,239030.46634999992
20250915,625132.4663499999,3,239030.46634999992
20250916,632316.4663499999,3,239030.46634999992
20250917,640990.4663499999,3,239030.46634999992
20250918,637684.4663499999,3,239030.46634999992
20250919,634177.4663499999,3,239030.46634999992
20250922,636316.4663499999,3,239030.46634999992
20250923,632044.4663499999,3,239030.46634999992
20250924,630616.4663499999,3,239030.46634999992
20250925,628663.4663499999,3,239030.46634999992
20250926,619133.2405499999,1,498493.2405499999
20250930,620693.2405499999,1,498493.2405499999
20251001,620953.2405499999,1,498493.2405499999
20251002,621213.2405499999,1,498493.2405499999
20251003,622513.2405499999,1,498493.2405499999
20251007,628917.2506124999,3,248319.75061249986
20251008,623014.7506124999,3,248319.75061249986
20251009,618994.7506124999,3,248319.75061249986
20251013,606817.2506124999,3,248319.75061249986
20251014,592435.2714874998,0,592435.2714874998
20251015,592435.2714874998,0,592435.2714874998
20251016,592435.2714874998,0,592435.2714874998
20251017,592435.2714874998,0,592435.2714874998
20251020,592435.2714874998,0,592435.2714874998
20251021,592435.2714874998,0,592435.2714874998
20251022,592435.2714874998,0,592435.2714874998
20251023,592435.2714874998,0,592435.2714874998
20251027,592435.2714874998,0,592435.2714874998
20251028,592435.2714874998,0,592435.2714874998
20251029,592435.2714874998,0,592435.2714874998
20251030,592435.2714874998,0,592435.2714874998
20251031,592435.2714874998,0,592435.2714874998
20251103,592080.3203749999,2,342991.82037499984
20251104,593626.8203749999,2,342991.82037499984
20251105,593008.8203749999,2,342991.82037499984
20251106,593169.3203749999,2,342991.82037499984
20251107,584491.8203749999,2,342991.82037499984
20251110,585595.8203749999,2,342991.82037499984
20251111,583149.3203749999,2,342991.82037499984
20251112,590098.8203749999,2,342991.82037499984
20251113,585309.1358749998,1,456427.6358749998
20251114,584025.1358749998,1,456427.6358749998
20251117,588519.1358749998,1,456427.6358749998
20251118,580654.6358749998,1,456427.6358749998
20251119,580975.6358749998,1,456427.6358749998
20251120,589963.6358749998,1,456427.6358749998
20251121,582420.1358749998,1,456427.6358749998
20251124,583704.1358749998,1,456427.6358749998
20251125,590926.6358749998,1,456427.6358749998
20251126,594457.6358749998,1,456427.6358749998
20251127,595099.6358749998,1,456427.6358749998
20251128,597667.6358749998,1,456427.6358749998
20251201,589286.6195749998,3,206235.61957499982
20251202,586927.6195749998,3,206235.61957499982
20251203,587592.1195749998,3,206235.61957499982
20251204,586588.6195749998,3,206235.61957499982
20251205,593613.6195749998,3,206235.61957499982
20251208,598533.8241249998,2,321158.8241249998
20251209,596271.8241249998,2,321158.8241249998
20251210,599700.8241249998,2,321158.8241249998
20251211,600437.8241249998,2,321158.8241249998
20251212,608747.8241249998,2,321158.8241249998
20251215,609010.8241249998,2,321158.8241249998
20251216,596943.8241249998,2,321158.8241249998
20251217,598256.8241249998,2,321158.8241249998
20251218,596002.3241249998,2,321158.8241249998
20251219,602035.8241249998,2,321158.8241249998
20251222,611096.8241249998,2,321158.8241249998
20251223,616561.3241249998,2,321158.8241249998
20251224,627190.8241249998,2,321158.8241249998
20251226,628766.8241249998,2,321158.8241249998
20251229,631035.8241249998,2,321158.8241249998
20251230,633407.8241249998,2,321158.8241249998
20251231,635953.8241249998,2,321158.8241249998
20260102,636078.3241249998,2,321158.8241249998
20260105,639745.4739999998,4,72840.47399999981
20260106,650563.4739999998,4,72840.47399999981
20260107,641198.4739999998,4,72840.47399999981
20260108,626997.4739999998,4,72840.47399999981
20260109,627914.4739999998,4,72840.47399999981
20260112,631211.9739999998,4,72840.47399999981
20260113,637415.4739999998,4,72840.47399999981
20260114,647034.4739999998,4,72840.47399999981
20260115,645131.4739999998,4,72840.47399999981
20260116,648426.4739999998,4,72840.47399999981
20260119,646235.9739999998,4,72840.47399999981
20260120,661160.4739999998,4,72840.47399999981
20260121,671585.4739999998,4,72840.47399999981
20260122,678222.4739999998,4,72840.47399999981
20260123,685734.4739999998,4,72840.47399999981
20260126,699625.4739999998,4,72840.47399999981
20260127,712696.4739999998,4,72840.47399999981
20260128,707379.4739999998,4,72840.47399999981
20260129,697651.4739999998,4,72840.47399999981
20260130,694329.4739999998,4,72840.47399999981
20260202,698877.6609249997,4,63203.660924999815
20260203,721053.6609249997,4,63203.660924999815
20260204,746553.6609249997,4,63203.660924999815
20260205,730528.6609249997,4,63203.660924999815
20260206,709446.6609249997,4,63203.660924999815
20260209,739012.6609249997,4,63203.660924999815
20260210,741344.6609249997,4,63203.660924999815
20260211,747969.6609249997,4,63203.660924999815
20260223,759129.6609249997,4,63203.660924999815
20260224,771984.6609249997,4,63203.660924999815
20260225,797178.6609249997,4,63203.660924999815
20260226,792094.6609249997,4,63203.660924999815
20260302,560904.1609249997,4,63203.660924999815
20260303,560904.1609249997,4,63203.660924999815
